,Fiscal Quarter,Bureau,Base Pay
45856,2,20,41011.20
45857,2,3,41990.14
45858,1,8,24601.66
45859,1,0,35545.68
45860,4,1,30870.00
45861,3,20,250.00
45862,2,5,217000.00
45863,3,20,24634.54
45864,3,5,19144.84
45865,3,5,10238.15
45866,2,8,5080.00
45867,3,5,10472.00
45868,4,3,23905.24
45869,1,9,36989.66
45870,3,9,19384.82
45871,1,3,25034.80
45872,1,5,21863.91
45873,3,3,23985.60
45874,2,3,17189.68
45875,3,12,32148.50
45876,1,20,250.00
45877,3,3,23416.60
45878,3,5,22687.28
45879,4,3,41066.20
45880,4,14,20074.86
45881,3,3,21647.08
45882,4,3,31920.98
45883,3,9,19384.82
45884,1,3,29264.00
45885,4,1,26404.00
45886,3,3,30100.80
45887,3,5,21153.20
45888,1,3,28450.40
45889,2,5,28316.44
45890,2,9,30625.24
45891,2,5,52950.60
45892,4,3,19414.14
45893,4,5,45006.74
45894,4,5,37255.42
45895,2,1,44887.62
45896,3,3,47861.56
45897,1,23,28024.00
45898,3,5,26445.66
45899,2,3,40529.46
45900,1,5,11783.40
45901,1,6,35720.20
45902,1,5,31327.58
45903,2,5,50026.20
45904,2,5,21007.00
45905,1,5,106053.98
45906,2,1,0.00
45907,1,20,32877.14
45908,1,8,26563.48
45909,3,3,19223.00
45910,3,3,22503.32
45911,4,20,250.00
45912,1,3,34035.36
45913,2,3,11397.32
45914,3,3,40089.28
45915,1,5,23817.52
45916,4,20,4695.12
45917,1,5,25661.75
45918,2,5,22167.64
45919,1,3,29704.00
45920,3,5,9868.83
45921,1,2,57247.70
45922,4,5,25580.80
45923,2,23,38732.80
45924,3,6,70765.62
45925,2,5,50478.40
45926,2,5,50126.90
45927,1,23,25763.62
45928,1,12,48188.16
45929,4,6,13327.40
45930,2,1,43235.20
45931,3,12,30410.78
45932,2,20,66441.68
45933,3,5,23988.14
45934,4,3,35117.60
45935,2,5,38610.04
45936,4,5,39292.96
45937,4,3,21136.97
45938,4,5,48984.62
45939,3,20,25181.82
45940,3,5,31361.40
45941,1,5,22222.30
45942,2,3,56026.84
45943,2,9,31313.80
45944,3,0,31201.40
45945,4,20,34332.08
45946,2,23,84470.54
45947,3,3,23009.20
45948,2,3,39671.64
45949,3,5,26645.12
45950,2,19,21708.40
45951,1,9,14412.00
45952,4,3,10033.60
45953,4,1,30870.00
45954,3,3,34132.34
45955,2,5,50902.06
45956,1,12,32171.18
45957,1,3,27786.28
45958,1,20,20335.28
45959,4,20,21419.44
45960,1,5,29823.76
45961,4,5,187899.60
45962,4,5,11586.22
45963,1,5,63932.40
45964,4,3,47764.64
45965,3,20,17126.76
45966,4,3,44558.08
45967,3,3,6942.72
45968,3,5,51378.82
45969,2,5,45031.40
45970,3,3,10132.94
45971,4,5,46158.40
45972,1,3,29232.62
45973,3,5,13453.51
45974,4,21,59908.80
45975,1,5,29401.62
45976,2,3,31617.62
45977,3,5,40055.08
45978,3,23,21093.92
45979,3,3,40089.28
45980,1,3,31887.98
45981,4,3,20325.90
45982,3,3,32140.80
45983,1,5,26018.60
45984,1,20,25217.60
45985,1,3,32821.90
45986,4,5,35440.44
45987,2,3,31391.32
45988,2,1,41516.14
45989,2,5,44709.10
45990,4,5,13327.30
45991,1,9,0.00
45992,3,3,33256.40
45993,2,1,50416.92
45994,2,5,49172.30
45995,1,12,42113.69
45996,1,3,34035.32
45997,2,23,31595.20
45998,4,3,19043.50
45999,4,5,18258.80
46000,2,3,26369.24
46001,1,5,12990.80
46002,4,3,37497.60
46003,4,20,33246.84
46004,2,3,37974.78
46005,3,5,26086.74
46006,1,5,20249.49
46007,1,5,148407.72
46008,1,3,30828.84
46009,3,20,15166.11
46010,1,20,40046.68
46011,1,5,35346.74
46012,3,3,26645.07
46013,1,20,25701.71
46014,1,20,250.00
46015,1,5,20186.40
46016,3,19,22496.80
46017,2,23,22784.00
46018,4,13,22102.75
46019,3,3,23416.60
46020,4,5,49264.70
46021,2,9,22616.12
46022,4,3,36517.60
46023,3,5,8762.66
46024,2,5,35271.66
46025,3,3,21674.80
